day,financial_status,order_name,customer_id,customer_type,variant_sku,product_price,shipping_region,shipping_postal_code,customer_cohort_week,customer_cohort_month,units_per_transaction
3/7/2024,paid,#880498,7.22E+12,Returning,SQ1726938,0,Pennsylvania,16148,2024-W06,2024-02,1
3/7/2024,paid,#880473,5.28E+12,Returning,SQBRM24,0,Pennsylvania,16046,2021-W34,2021-08,1
3/7/2024,paid,#880473,5.28E+12,Returning,,0,Pennsylvania,16046,2021-W34,2021-08,0
3/7/2024,paid,#880945,7.30E+12,First-time,,0,California,93117,2024-W10,2024-03,0
3/7/2024,paid,#880945,7.30E+12,First-time,BB1249-24,69.99,California,93117,2024-W10,2024-03,1
3/7/2024,paid,#880919,7.30E+12,First-time,BB303P,99.99,Washington,98110,2024-W10,2024-03,1
3/7/2024,paid,#880919,7.30E+12,First-time,,0,Washington,98110,2024-W10,2024-03,0
3/7/2024,paid,#880627,6.61E+12,Returning,SQ9178530,0,New Jersey,8319,2023-W18,2023-05,1
3/7/2024,paid,#880627,6.61E+12,Returning,,0,New Jersey,8319,2023-W18,2023-05,0
3/7/2024,paid,#880678,6.39E+12,Returning,SQ9178530,0,New York,10010,2022-W50,2022-12,1
3/7/2024,paid,#880678,6.39E+12,Returning,,0,New York,10010,2022-W50,2022-12,0
3/7/2024,paid,#880768,7.10E+12,Returning,SQ9178530,0,Virginia,22311,2023-W51,2023-12,1
3/7/2024,paid,#880768,7.10E+12,Returning,,0,Virginia,22311,2023-W51,2023-12,0
3/7/2024,paid,#880243,7.23E+12,Returning,,0,California,93257,2024-W06,2024-02,0
3/7/2024,paid,#880243,7.23E+12,Returning,SQ9178530,59.99,California,93257,2024-W06,2024-02,1
3/7/2024,paid,#880707,3.02E+12,Returning,,0,Kentucky,41017,2020-W18,2020-04,0
3/7/2024,paid,#880707,3.02E+12,Returning,SQ8862610,0,Kentucky,41017,2020-W18,2020-04,1
3/7/2024,paid,#880524,6.39E+12,Returning,,0,Washington,98935,2022-W50,2022-12,0
3/7/2024,paid,#880524,6.39E+12,Returning,SQ8862610,0,Washington,98935,2022-W50,2022-12,1
3/7/2024,paid,#880332,7.23E+12,Returning,SQ9178530,59.99,Pennsylvania,15201,2024-W06,2024-02,1
3/7/2024,paid,#880332,7.23E+12,Returning,,0,Pennsylvania,15201,2024-W06,2024-02,0
3/7/2024,paid,#880282,5.08E+12,Returning,,0,Kentucky,40601,2021-W14,2021-04,0
3/7/2024,paid,#880282,5.08E+12,Returning,SQ9178530,43.99,Kentucky,40601,2021-W14,2021-04,1
3/7/2024,paid,#880419,2.72E+12,Returning,SQ8862610,0,Texas,79912,2019-W47,2019-11,1
3/7/2024,paid,#880419,2.72E+12,Returning,,0,Texas,79912,2019-W47,2019-11,0
3/7/2024,paid,#880576,5.79E+12,Returning,SQ8862610,0,Illinois,60462,2022-W26,2022-07,1
3/7/2024,paid,#880576,5.79E+12,Returning,,0,Illinois,60462,2022-W26,2022-07,0
3/7/2024,paid,#880755,3.53E+12,Returning,,0,Florida,33172,2020-W50,2020-12,0
3/7/2024,paid,#880755,3.53E+12,Returning,SQ1726938,0,Florida,33172,2020-W50,2020-12,1
3/7/2024,paid,#880438,3.42E+12,Returning,SQ1726938,0,Indiana,46062,2020-W41,2020-10,1
3/7/2024,paid,#880438,3.42E+12,Returning,,0,Indiana,46062,2020-W41,2020-10,0
3/7/2024,paid,#880720,5.74E+12,Returning,SQ8862610,0,Wisconsin,53012,2022-W23,2022-06,1
3/7/2024,paid,#880720,5.74E+12,Returning,,0,Wisconsin,53012,2022-W23,2022-06,0
3/7/2024,paid,#880848,7.10E+12,Returning,,0,New York,10024,2023-W52,2023-12,0
3/7/2024,paid,#880848,7.10E+12,Returning,SQ1726938,0,New York,10024,2023-W52,2023-12,1
3/7/2024,paid,#880632,6.37E+12,Returning,BB-PET-SAFE,0,Illinois,60586,2022-W48,2022-12,1
3/7/2024,paid,#880632,6.37E+12,Returning,,0,Illinois,60586,2022-W48,2022-12,0
3/7/2024,paid,#880867,5.42E+12,Returning,,0,Georgia,30062,2021-W47,2021-11,0
3/7/2024,paid,#880867,5.42E+12,Returning,SQ1726938,0,Georgia,30062,2021-W47,2021-11,1
3/7/2024,paid,#880444,2.81E+12,Returning,SQ1726938,0,Virginia,20165,2019-W52,2019-12,1
3/7/2024,paid,#880444,2.81E+12,Returning,,0,Virginia,20165,2019-W52,2019-12,0
3/7/2024,paid,#880738,5.12E+12,Returning,BBNYBGLA,0,Florida,33143,2021-W18,2021-05,1
3/7/2024,paid,#880738,5.12E+12,Returning,,0,Florida,33143,2021-W18,2021-05,0
3/7/2024,paid,#880283,7.07E+12,Returning,SQ9178530,179.97,Illinois,62863,2023-W50,2023-12,1
3/7/2024,paid,#880283,7.07E+12,Returning,,0,Illinois,62863,2023-W50,2023-12,0
3/7/2024,paid,#880453,5.45E+12,Returning,BBNYBGLA,0,New York,10018,2021-W51,2021-12,1
3/7/2024,paid,#880453,5.45E+12,Returning,,0,New York,10018,2021-W51,2021-12,0
3/7/2024,paid,#880276,2.78E+12,Returning,,0,Maine,4849,2019-W50,2019-12,0
3/7/2024,paid,#880276,2.78E+12,Returning,SQ9178530,43.99,Maine,4849,2019-W50,2019-12,1
3/7/2024,paid,#880846,7.01E+12,Returning,,0,California,91362,2023-W47,2023-11,0
3/7/2024,paid,#880846,7.01E+12,Returning,SQ9178530,0,California,91362,2023-W47,2023-11,1
3/7/2024,paid,#880306,7.20E+12,Returning,SQ1726938,69.99,Indiana,46151,2024-W05,2024-01,1
3/7/2024,paid,#880306,7.20E+12,Returning,,0,Indiana,46151,2024-W05,2024-01,0
3/7/2024,paid,#880578,7.00E+12,Returning,SQ9178530,0,North Carolina,28751,2023-W48,2023-11,1
3/7/2024,paid,#880578,7.00E+12,Returning,,0,North Carolina,28751,2023-W48,2023-11,0
3/7/2024,paid,#880635,7.23E+12,Returning,BBNYBGLA,0,New Jersey,7039,2024-W06,2024-02,1
3/7/2024,paid,#880635,7.23E+12,Returning,,0,New Jersey,7039,2024-W06,2024-02,0
3/7/2024,paid,#880340,5.47E+12,Returning,,0,Arizona,85259,2021-W51,2021-12,0
3/7/2024,paid,#880340,5.47E+12,Returning,SQ1726938,209.97,Arizona,85259,2021-W51,2021-12,1
3/7/2024,paid,#880624,1.58E+12,Returning,SQ8862610,0,Texas,79912,2019-W23,2019-06,1
3/7/2024,paid,#880624,1.58E+12,Returning,,0,Texas,79912,2019-W23,2019-06,0
3/7/2024,paid,#880572,6.99E+12,Returning,,0,Nevada,89519,2023-W45,2023-11,0
3/7/2024,paid,#880572,6.99E+12,Returning,SQ9178530,0,Nevada,89519,2023-W45,2023-11,1
3/7/2024,paid,#880913,7.30E+12,First-time,BB-RainbowFields,0,Illinois,62881-1203,2024-W10,2024-03,1
3/7/2024,paid,#880601,7.07E+12,Returning,SQ9178530,0,California,91326,2023-W50,2023-12,1
3/7/2024,paid,#880601,7.07E+12,Returning,,0,California,91326,2023-W50,2023-12,0
3/7/2024,paid,#880758,7.23E+12,Returning,,0,Tennessee,38474,2024-W07,2024-02,0
3/7/2024,paid,#880758,7.23E+12,Returning,SQ9178530,0,Tennessee,38474,2024-W07,2024-02,1
3/7/2024,paid,#880633,6.61E+12,Returning,SQ9178530,0,Utah,84070,2023-W19,2023-05,1
3/7/2024,paid,#880633,6.61E+12,Returning,,0,Utah,84070,2023-W19,2023-05,0
3/7/2024,paid,#880409,7.30E+12,First-time,BloomsyMX1:2024-04-01T00:00:00.000Z,0,New York,11731,2024-W10,2024-03,1
3/7/2024,paid,#880511,5.48E+12,Returning,,0,New Jersey,7928,2022-W01,2022-01,0
3/7/2024,paid,#880511,5.48E+12,Returning,SQ8862610,0,New Jersey,7928,2022-W01,2022-01,1
3/7/2024,paid,#880770,6.84E+12,Returning,,0,Wisconsin,54868,2023-W34,2023-08,0
3/7/2024,paid,#880770,6.84E+12,Returning,SQ8862610,0,Wisconsin,54868,2023-W34,2023-08,1
3/7/2024,paid,#880930,7.30E+12,First-time,,0,Georgia,30009,2024-W10,2024-03,0
3/7/2024,paid,#880930,7.30E+12,First-time,BB343-26,59.99,Georgia,30009,2024-W10,2024-03,1
3/7/2024,paid,#880577,6.99E+12,Returning,SQ9178530,0,Arizona,85255,2023-W45,2023-11,1
3/7/2024,paid,#880577,6.99E+12,Returning,,0,Arizona,85255,2023-W45,2023-11,0
3/7/2024,paid,#880711,6.65E+12,Returning,SQ9178530,0,Florida,33764,2023-W23,2023-06,1
3/7/2024,paid,#880711,6.65E+12,Returning,,0,Florida,33764,2023-W23,2023-06,0
3/7/2024,paid,#880934,7.30E+12,First-time,BB-RainbowFields,0,Florida,33062-3640,2024-W10,2024-03,1
3/7/2024,paid,#880487,7.22E+12,Returning,,0,North Carolina,27810,2024-W06,2024-02,0
3/7/2024,paid,#880487,7.22E+12,Returning,SQ1726938,0,North Carolina,27810,2024-W06,2024-02,1
3/7/2024,paid,#880636,7.18E+12,Returning,,0,Massachusetts,2081,2024-W04,2024-01,0
3/7/2024,paid,#880636,7.18E+12,Returning,SQ8862610,0,Massachusetts,2081,2024-W04,2024-01,1
3/7/2024,paid,#880285,7.16E+12,Returning,,0,Texas,76549,2024-W02,2024-01,0
3/7/2024,paid,#880285,7.16E+12,Returning,SQ9178530,59.99,Texas,76549,2024-W02,2024-01,1
3/7/2024,paid,#880370,7.30E+12,First-time,BloomsyMX1:2024-04-01T00:00:00.000Z,0,Florida,32073-2148,2024-W10,2024-03,1
3/7/2024,paid,#880293,6.76E+12,Returning,,0,Idaho,83709,2023-W28,2023-07,0
3/7/2024,paid,#880293,6.76E+12,Returning,BB-PET-SAFE,69.99,Idaho,83709,2023-W28,2023-07,1
3/7/2024,paid,#880807,3.51E+12,Returning,SQ1726938,0,Maryland,21239,2020-W49,2020-11,1
3/7/2024,paid,#880671,7.05E+12,Returning,SQ1726938,0,Pennsylvania,17922,2023-W48,2023-12,1
3/7/2024,paid,#880671,7.05E+12,Returning,,0,Pennsylvania,17922,2023-W48,2023-12,0
3/7/2024,paid,#880653,7.00E+12,Returning,,0,California,90034,2023-W46,2023-11,0
3/7/2024,paid,#880653,7.00E+12,Returning,SQ9178530,0,California,90034,2023-W46,2023-11,1
3/7/2024,paid,#880411,7.30E+12,First-time,SQ9178530,0,California,92694-1294,2024-W10,2024-03,1
3/7/2024,paid,#880544,3.50E+12,Returning,SQ9178530,0,California,95661,2020-W48,2020-11,1
3/7/2024,paid,#880544,3.50E+12,Returning,,0,California,95661,2020-W48,2020-11,0
3/7/2024,paid,#880936,3.30E+12,Returning,BB671-25,64.99,North Carolina,28211,2020-W32,2020-08,1
3/7/2024,paid,#880936,3.30E+12,Returning,,0,North Carolina,28211,2020-W32,2020-08,0
3/7/2024,paid,#880924,7.30E+12,First-time,,0,Texas,76053,2024-W10,2024-03,0
3/7/2024,paid,#880924,7.30E+12,First-time,SQ5173256,188.97,Texas,76053,2024-W10,2024-03,1
3/7/2024,paid,#880256,5.59E+12,Returning,,0,New York,11210,2022-W10,2022-03,0
3/7/2024,paid,#880256,5.59E+12,Returning,SQ9178530,44.99,New York,11210,2022-W10,2022-03,1
3/7/2024,paid,#880751,6.57E+12,Returning,SQ9178530,0,Maine,04617-3814,2023-W14,2023-04,1
3/7/2024,paid,#880751,6.57E+12,Returning,,0,Maine,04617-3814,2023-W14,2023-04,0
3/7/2024,paid,#880557,6.39E+12,Returning,SQ8862610,0,Connecticut,6470,2022-W50,2022-12,1
3/7/2024,paid,#880557,6.39E+12,Returning,,0,Connecticut,6470,2022-W50,2022-12,0
3/7/2024,paid,#880528,7.07E+12,Returning,,0,Massachusetts,1950,2023-W50,2023-12,0
3/7/2024,paid,#880528,7.07E+12,Returning,SQ9178530,0,Massachusetts,1950,2023-W50,2023-12,1
3/7/2024,paid,#880595,5.46E+12,Returning,SQ8862610,0,Texas,79416,2021-W50,2021-12,1
3/7/2024,paid,#880595,5.46E+12,Returning,,0,Texas,79416,2021-W50,2021-12,0
3/7/2024,paid,#880651,7.23E+12,Returning,SQ8862610,0,Massachusetts,1821,2024-W06,2024-02,1
3/7/2024,paid,#880651,7.23E+12,Returning,,0,Massachusetts,1821,2024-W06,2024-02,0
3/7/2024,paid,#880246,6.48E+12,Returning,SQ1726938,584.88,Michigan,48075,2023-W06,2023-02,1
3/7/2024,paid,#880246,6.48E+12,Returning,,0,Michigan,48075,2023-W06,2023-02,0
3/7/2024,paid,#880851,7.22E+12,Returning,,0,Texas,76548,2024-W06,2024-02,0
3/7/2024,paid,#880851,7.22E+12,Returning,SQ9178530,0,Texas,76548,2024-W06,2024-02,1
3/7/2024,paid,#880796,6.38E+12,Returning,,0,Michigan,48310,2022-W49,2022-12,0
3/7/2024,paid,#880796,6.38E+12,Returning,SQ9178530,0,Michigan,48310,2022-W49,2022-12,1
3/7/2024,paid,#880773,7.23E+12,Returning,,0,Pennsylvania,16510,2024-W07,2024-02,0
3/7/2024,paid,#880773,7.23E+12,Returning,SQ9178530,0,Pennsylvania,16510,2024-W07,2024-02,1
3/7/2024,paid,#880517,7.07E+12,Returning,SQ8862610,0,South Carolina,29412,2023-W50,2023-12,1
3/7/2024,paid,#880517,7.07E+12,Returning,,0,South Carolina,29412,2023-W50,2023-12,0
3/7/2024,paid,#880650,5.44E+12,Returning,,0,California,94024,2021-W49,2021-12,0
3/7/2024,paid,#880650,5.44E+12,Returning,SQ8862610,0,California,94024,2021-W49,2021-12,1
3/7/2024,paid,#880483,5.03E+12,Returning,,0,Utah,84720,2021-W09,2021-03,0
3/7/2024,paid,#880483,5.03E+12,Returning,SQ8862610,0,Utah,84720,2021-W09,2021-03,1
3/7/2024,paid,#880900,7.30E+12,First-time,BloomsyMX1:2024-04-01T00:00:00.000Z,0,Texas,78757-8216,2024-W10,2024-03,1
3/7/2024,paid,#880677,7.05E+12,Returning,SQ1726938,0,Minnesota,56377,2023-W48,2023-12,1
3/7/2024,paid,#880677,7.05E+12,Returning,,0,Minnesota,56377,2023-W48,2023-12,0
3/7/2024,paid,#880914,7.30E+12,First-time,BloomsyMX1:2024-04-01T00:00:00.000Z,0,Oklahoma,74075-8637,2024-W10,2024-03,1
3/7/2024,paid,#880631,7.08E+12,Returning,,0,Florida,33767,2023-W50,2023-12,0
3/7/2024,paid,#880631,7.08E+12,Returning,BBNYBGLA,0,Florida,33767,2023-W50,2023-12,1
3/7/2024,paid,#880558,6.98E+12,Returning,,0,Florida,32233,2023-W45,2023-11,0
3/7/2024,paid,#880558,6.98E+12,Returning,SQ1726938,0,Florida,32233,2023-W45,2023-11,1
3/7/2024,paid,#880440,5.96E+12,Returning,,0,Ohio,43440,2022-W30,2022-07,0
3/7/2024,paid,#880440,5.96E+12,Returning,SQ1726938,0,Ohio,43440,2022-W30,2022-07,1
3/7/2024,paid,#880248,7.21E+12,Returning,SQ1726938,69.99,Maryland,21117,2024-W05,2024-02,1
3/7/2024,paid,#880248,7.21E+12,Returning,,0,Maryland,21117,2024-W05,2024-02,0
3/7/2024,paid,#880719,7.23E+12,Returning,,0,Tennessee,37663,2024-W07,2024-02,0
3/7/2024,paid,#880719,7.23E+12,Returning,SQ9178530,0,Tennessee,37663,2024-W07,2024-02,1
3/7/2024,paid,#880296,7.18E+12,Returning,SQ1726938,69.99,Idaho,83704,2024-W04,2024-01,1
3/7/2024,paid,#880296,7.18E+12,Returning,,0,Idaho,83704,2024-W04,2024-01,0
3/7/2024,paid,#880691,3.52E+12,Returning,,0,West Virginia,25304,2020-W49,2020-12,0
3/7/2024,paid,#880691,3.52E+12,Returning,BBNYBGLA,0,West Virginia,25304,2020-W49,2020-12,1
3/7/2024,paid,#880351,3.55E+12,Returning,SQ8862610,54.99,Virginia,24531,2020-W52,2020-12,1
3/7/2024,paid,#880351,3.55E+12,Returning,,0,Virginia,24531,2020-W52,2020-12,0
3/7/2024,paid,#880553,7.13E+12,Returning,SQ1726938,0,California,92127,2024-W01,2024-01,1
3/7/2024,paid,#880553,7.13E+12,Returning,,0,California,92127,2024-W01,2024-01,0
3/7/2024,paid,#880330,7.16E+12,Returning,SQ9178530,59.99,Georgia,30132,2024-W03,2024-01,1
3/7/2024,paid,#880330,7.16E+12,Returning,,0,Georgia,30132,2024-W03,2024-01,0
3/7/2024,paid,#880396,1.18E+12,Returning,,0,Kentucky,42347,2017-W05,2017-02,0
3/7/2024,paid,#880396,1.18E+12,Returning,SQ9178530,44.99,Kentucky,42347,2017-W05,2017-02,1
3/7/2024,paid,#880709,7.05E+12,Returning,SQ8862610,0,Missouri,63026,2023-W49,2023-12,1
3/7/2024,paid,#880709,7.05E+12,Returning,,0,Missouri,63026,2023-W49,2023-12,0
3/7/2024,paid,#880826,6.46E+12,Returning,SQ8862610,0,Massachusetts,1757,2023-W05,2023-02,1
3/7/2024,paid,#880826,6.46E+12,Returning,,0,Massachusetts,1757,2023-W05,2023-02,0
3/7/2024,paid,#880761,7.23E+12,Returning,,0,Massachusetts,2135,2024-W07,2024-02,0
3/7/2024,paid,#880761,7.23E+12,Returning,SQ9178530,0,Massachusetts,2135,2024-W07,2024-02,1
3/7/2024,paid,#880802,7.23E+12,Returning,,0,Massachusetts,1852,2024-W07,2024-02,0
3/7/2024,paid,#880802,7.23E+12,Returning,SQ9178530,0,Massachusetts,1852,2024-W07,2024-02,1
3/7/2024,paid,#880603,6.61E+12,Returning,,0,Florida,32082,2023-W19,2023-05,0
3/7/2024,paid,#880603,6.61E+12,Returning,SQ1726938,0,Florida,32082,2023-W19,2023-05,1
3/7/2024,paid,#880925,7.30E+12,First-time,BB-RainbowFields,0,Iowa,52245-3644,2024-W10,2024-03,1
3/7/2024,paid,#880871,3.53E+12,Returning,,0,Massachusetts,2143,2020-W50,2020-12,0
3/7/2024,paid,#880871,3.53E+12,Returning,SQ1726938,0,Massachusetts,2143,2020-W50,2020-12,1
3/7/2024,paid,#880935,7.30E+12,First-time,BB-RainbowFields,0,Nevada,89143-1282,2024-W10,2024-03,1
3/7/2024,paid,#880352,5.16E+12,Returning,,0,Pennsylvania,19096,2021-W22,2021-06,0
3/7/2024,paid,#880352,5.16E+12,Returning,BBNYBGLA,69.99,Pennsylvania,19096,2021-W22,2021-06,1
3/7/2024,paid,#880406,7.30E+12,First-time,SQ9178530,0,California,92007-1109,2024-W10,2024-03,1
3/7/2024,paid,#880581,6.61E+12,Returning,SQ9178530,0,North Carolina,28469,2023-W18,2023-05,1
3/7/2024,paid,#880581,6.61E+12,Returning,,0,North Carolina,28469,2023-W18,2023-05,0
3/7/2024,paid,#880461,7.06E+12,Returning,SQ9178530,0,New Hampshire,3748,2023-W49,2023-12,1
3/7/2024,paid,#880461,7.06E+12,Returning,,0,New Hampshire,3748,2023-W49,2023-12,0
3/7/2024,paid,#880813,5.47E+12,Returning,,0,Virginia,23059,2021-W52,2021-12,0
3/7/2024,paid,#880813,5.47E+12,Returning,SQ9178530,0,Virginia,23059,2021-W52,2021-12,1
3/7/2024,paid,#880500,2.89E+12,Returning,,0,California,92024,2020-W10,2020-03,0
3/7/2024,paid,#880500,2.89E+12,Returning,SQ1726938,0,California,92024,2020-W10,2020-03,1
3/7/2024,paid,#880742,7.23E+12,Returning,SQ1726938,0,New Jersey,8535,2024-W07,2024-02,1
3/7/2024,paid,#880742,7.23E+12,Returning,,0,New Jersey,8535,2024-W07,2024-02,0
3/7/2024,paid,#880862,6.39E+12,Returning,,0,North Carolina,28138,2022-W50,2022-12,0
3/7/2024,paid,#880862,6.39E+12,Returning,SQ1726938,0,North Carolina,28138,2022-W50,2022-12,1
3/7/2024,paid,#880408,6.89E+12,Returning,BB078-10,69.99,Connecticut,6878,2023-W39,2023-09,1
3/7/2024,paid,#880408,6.89E+12,Returning,BB721-27,79.99,Connecticut,6878,2023-W39,2023-09,1
3/7/2024,paid,#880408,6.89E+12,Returning,,0,Connecticut,6878,2023-W39,2023-09,0
3/7/2024,paid,#880540,6.98E+12,Returning,SQ9178530,0,New York,12547,2023-W45,2023-11,1
3/7/2024,paid,#880540,6.98E+12,Returning,,0,New York,12547,2023-W45,2023-11,0
3/7/2024,paid,#880247,7.23E+12,Returning,SQ9178530,59.99,Georgia,30650,2024-W06,2024-02,1
3/7/2024,paid,#880247,7.23E+12,Returning,,0,Georgia,30650,2024-W06,2024-02,0
3/7/2024,paid,#880319,3.52E+12,Returning,,0,Louisiana,71119,2020-W49,2020-12,0
3/7/2024,paid,#880319,3.52E+12,Returning,SQBRM24,44.99,Louisiana,71119,2020-W49,2020-12,1
3/7/2024,paid,#880493,6.75E+12,Returning,BBNYBGLA,0,Arizona,85743,2023-W27,2023-07,1
3/7/2024,paid,#880493,6.75E+12,Returning,,0,Arizona,85743,2023-W27,2023-07,0
3/7/2024,paid,#880451,5.43E+12,Returning,,0,Montana,59635-4003,2021-W48,2021-12,0
3/7/2024,paid,#880451,5.43E+12,Returning,SQ9178530,0,Montana,59635-4003,2021-W48,2021-12,1
3/7/2024,paid,#880767,6.44E+12,Returning,,0,California,95677,2024-W07,2024-02,0
3/7/2024,paid,#880767,6.44E+12,Returning,SQ9178530,0,California,95677,2024-W07,2024-02,1
3/7/2024,paid,#880476,5.23E+12,Returning,BBEucalyptus,0,New Jersey,7013,2021-W29,2021-07,1
3/7/2024,paid,#880476,5.23E+12,Returning,,0,New Jersey,7013,2021-W29,2021-07,0
3/7/2024,paid,#880676,5.67E+12,Returning,,0,Florida,33912,2022-W18,2022-05,0
3/7/2024,paid,#880676,5.67E+12,Returning,SQ1726938,0,Florida,33912,2022-W18,2022-05,1
3/7/2024,paid,#880844,2.79E+12,Returning,,0,New York,10804,2019-W50,2019-12,0
3/7/2024,paid,#880844,2.79E+12,Returning,SQ9178530,0,New York,10804,2019-W50,2019-12,1
3/7/2024,paid,#880335,3.45E+12,Returning,SQ9178530,44.99,Pennsylvania,17110,2020-W43,2020-10,1
3/7/2024,paid,#880335,3.45E+12,Returning,,0,Pennsylvania,17110,2020-W43,2020-10,0
3/7/2024,paid,#880667,6.57E+12,Returning,SQ1726938,0,Arizona,85206,2023-W14,2023-04,1
3/7/2024,paid,#880667,6.57E+12,Returning,,0,Arizona,85206,2023-W14,2023-04,0
3/7/2024,paid,#880560,6.35E+12,Returning,,0,New York,13078,2022-W47,2022-11,0
3/7/2024,paid,#880560,6.35E+12,Returning,SQ9178530,0,New York,13078,2022-W47,2022-11,1
3/7/2024,paid,#880502,6.60E+12,Returning,,0,Texas,77074,2023-W17,2023-04,0
3/7/2024,paid,#880502,6.60E+12,Returning,SQ1726938,0,Texas,77074,2023-W17,2023-04,1
3/7/2024,paid,#880741,1.55E+12,Returning,SQ9178530,0,Washington,98245,2021-W27,2021-07,1
3/7/2024,paid,#880741,1.55E+12,Returning,,0,Washington,98245,2021-W27,2021-07,0
3/7/2024,paid,#880507,7.03E+12,Returning,SQ1726938,0,North Carolina,27530,2023-W48,2023-11,1
3/7/2024,paid,#880507,7.03E+12,Returning,,0,North Carolina,27530,2023-W48,2023-11,0
3/7/2024,paid,#880942,7.30E+12,First-time,BB-RainbowFields,0,Florida,34983-1860,2024-W10,2024-03,1
3/7/2024,paid,#880548,3.44E+12,Returning,SQ8862610,0,Colorado,80129,2020-W43,2020-10,1
3/7/2024,paid,#880548,3.44E+12,Returning,,0,Colorado,80129,2020-W43,2020-10,0
3/7/2024,paid,#880780,7.10E+12,Returning,,0,District Of Columbia,20001-1010,2023-W51,2023-12,0
3/7/2024,paid,#880780,7.10E+12,Returning,SQ9178530,0,District Of Columbia,20001-1010,2023-W51,2023-12,1
3/7/2024,paid,#880618,1.18E+12,Returning,,0,Connecticut,6877,2018-W15,2018-04,0
3/7/2024,paid,#880618,1.18E+12,Returning,SQ9178530,0,Connecticut,6877,2018-W15,2018-04,1
3/7/2024,paid,#880864,7.10E+12,Returning,,0,Virginia,24019,2023-W52,2023-12,0
3/7/2024,paid,#880864,7.10E+12,Returning,SQ9178530,0,Virginia,24019,2023-W52,2023-12,1
3/7/2024,paid,#880816,7.21E+12,Returning,,0,Illinois,60616,2024-W05,2024-02,0
3/7/2024,paid,#880816,7.21E+12,Returning,SQ9178530,0,Illinois,60616,2024-W05,2024-02,1
3/7/2024,paid,#880346,6.42E+12,Returning,,0,New York,10021,2023-W01,2023-01,0
3/7/2024,paid,#880346,6.42E+12,Returning,SQ8862610,54.99,New York,10021,2023-W01,2023-01,1
3/7/2024,paid,#880360,5.03E+12,Returning,BB-PET-SAFE,384.94,New Jersey,7828,2021-W09,2021-03,1
3/7/2024,paid,#880360,5.03E+12,Returning,,0,New Jersey,7828,2021-W09,2021-03,0
